id,family,n,seed,method,certified,energy,known_energy,energy_error,wall_s,chi,chi_kept,notes
v1.pmj-glass.n014.s007,pmj-glass,14,7,exact,True,-33.0,-33.0,0.0,0.00533090002136305,,,certified exact enumeration
v1.bipartite-maxcut.n014.s002,bipartite-maxcut,14,2,exact,True,-23.0,-23.0,0.0,0.005356399982701987,,,certified exact enumeration
v1.ferro-chain.n014.s000,ferro-chain,14,0,exact,True,-13.0,-13.0,0.0,0.005550300003960729,,,certified exact enumeration
v1.maxcut-er.n014.s002,maxcut-er,14,2,exact,True,-17.0,-17.0,0.0,0.005248999979812652,,,certified exact enumeration
v1.maxcut-er.n014.s003,maxcut-er,14,3,exact,True,-19.0,-19.0,0.0,0.00564930000109598,,,certified exact enumeration
v1.pmj-glass.n014.s008,pmj-glass,14,8,exact,True,-31.0,-31.0,0.0,0.005372999992687255,,,certified exact enumeration
v1.pmj-glass.n014.s009,pmj-glass,14,9,exact,True,-33.0,-33.0,0.0,0.00548200000775978,,,certified exact enumeration
v1.bipartite-maxcut.n014.s003,bipartite-maxcut,14,3,exact,True,-23.0,-23.0,0.0,0.005315100017469376,,,certified exact enumeration
v1.bipartite-maxcut.n014.s004,bipartite-maxcut,14,4,exact,True,-21.0,-21.0,0.0,0.006084199994802475,,,certified exact enumeration
v1.maxcut-er.n016.s001,maxcut-er,16,1,exact,True,-22.0,-22.0,0.0,0.022783599968533963,,,certified exact enumeration
v1.pmj-glass.n016.s007,pmj-glass,16,7,exact,True,-42.0,-42.0,0.0,0.027250299986917526,,,certified exact enumeration
v1.bipartite-maxcut.n016.s002,bipartite-maxcut,16,2,exact,True,-31.0,-31.0,0.0,0.023225199955049902,,,certified exact enumeration
v1.ferro-chain.n016.s000,ferro-chain,16,0,exact,True,-15.0,-15.0,0.0,0.023405699990689754,,,certified exact enumeration
v1.maxcut-er.n016.s002,maxcut-er,16,2,exact,True,-30.0,-30.0,0.0,0.023724700033199042,,,certified exact enumeration
v1.maxcut-er.n016.s003,maxcut-er,16,3,exact,True,-22.0,-22.0,0.0,0.023012899968307465,,,certified exact enumeration
v1.pmj-glass.n016.s008,pmj-glass,16,8,exact,True,-46.0,-46.0,0.0,0.023127099964767694,,,certified exact enumeration
v1.pmj-glass.n016.s009,pmj-glass,16,9,exact,True,-46.0,-46.0,0.0,0.02337809995515272,,,certified exact enumeration
v1.bipartite-maxcut.n016.s003,bipartite-maxcut,16,3,exact,True,-31.0,-31.0,0.0,0.02364970004418865,,,certified exact enumeration
v1.bipartite-maxcut.n016.s004,bipartite-maxcut,16,4,exact,True,-29.0,-29.0,0.0,0.022976099979132414,,,certified exact enumeration
v1.maxcut-er.n018.s001,maxcut-er,18,1,exact,True,-30.0,-30.0,0.0,0.10567449999507517,,,certified exact enumeration
v1.pmj-glass.n018.s007,pmj-glass,18,7,exact,True,-49.0,-49.0,0.0,0.11880560003919527,,,certified exact enumeration
v1.bipartite-maxcut.n018.s002,bipartite-maxcut,18,2,exact,True,-37.0,-37.0,0.0,0.1272330999490805,,,certified exact enumeration
v1.ferro-chain.n018.s000,ferro-chain,18,0,exact,True,-17.0,-17.0,0.0,0.10280100000090897,,,certified exact enumeration
v1.maxcut-er.n018.s002,maxcut-er,18,2,exact,True,-25.0,-25.0,0.0,0.11658589995931834,,,certified exact enumeration
